
[2013-05-18 07:26:02.812659] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.821236] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.829372] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.836860] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.843477] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.850808] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.858451] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.865030] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.872894] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.879795] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.886300] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.893918] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.901029] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.907654] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.916324] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.923034] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.930768] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.937427] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.944707] [SMELL] Object does not fit within bounds. (pos=(-61, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.951640] [SMELL] Object does not fit within bounds. (pos=(-60, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.958981] [SMELL] Object does not fit within bounds. (pos=(-59, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.966056] [SMELL] Object does not fit within bounds. (pos=(-58, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.974709] [SMELL] Object does not fit within bounds. (pos=(-57, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.984592] [SMELL] Object does not fit within bounds. (pos=(-56, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.994438] [SMELL] Object does not fit within bounds. (pos=(-55, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:03.003361] [SMELL] Object does not fit within bounds. (pos=(-54, 10), size=<rect(0, 0, 1366, 768)>)
